HISTORY_RCRD_ID,LAYER_RCRD_ID,HISTORY_ID,SILV_BASE_CD,START_YEAR,END_YEAR,LAYER_PCT 
197217,485,1,,,,
197218,486,1,,,,
197219,487,1,,,,
197221,488,1,,,,
197222,489,1,,,,
197223,490,1,,,,
197224,492,1,,,,
197225,493,1,,,,
197226,494,1,,,,
197227,495,1,,,,
197228,496,1,,,,
197229,497,1,,,,
197230,498,1,,,,
197231,499,1,,,,
197232,500,1,,,,
197233,501,1,,,,
197234,502,1,,,,
197235,503,1,,,,
197236,504,1,,,,
197237,505,1,,,,
197238,506,1,,,,
197240,507,1,,,,
197242,509,1,,,,
197243,510,1,,,,
197244,512,1,,,,
197245,514,1,,,,
197246,516,1,,,,
197247,517,1,,,,
197248,518,1,,,,
197249,519,1,,,,
197250,520,1,,,,
197251,521,1,,,,
197252,522,1,,,,
197253,524,1,,,,
197254,525,1,,,,
197255,526,1,,,,
197256,527,1,,,,
197257,528,1,,,,
197258,529,1,,,,
197259,530,1,,,,
197260,531,1,,,,
197261,532,1,,,,
197262,533,1,,,,
197263,534,1,,,,
197264,535,1,,,,
197265,536,1,,,,
197266,537,1,,,,
197267,538,1,,,,
197268,539,1,,,,
197270,540,1,,,,
197271,541,1,,,,
197272,542,1,,,,
197273,543,1,,,,
197274,544,1,,,,
197275,545,1,,,,
197276,546,1,,,,
197277,547,1,,,,
197278,548,1,,,,
197279,549,1,,,,
197280,550,1,,,,
197281,551,1,,,,
197282,553,1,,,,
197283,554,1,,,,
197284,555,1,,,,
197285,556,1,,,,
197286,557,1,,,,
197287,558,1,,,,
197288,559,1,,,,
197290,560,1,,,,
197291,561,1,,,,
197292,562,1,,,,
197293,563,1,,,,
197294,564,1,,,,
197295,565,1,,,,
197296,566,1,,,,
197297,567,1,,,,
197298,568,1,,,,
197299,569,1,,,,
197300,570,1,,,,
197301,571,1,,,,
197302,572,1,,,,
197303,573,1,,,,
197304,574,1,,,,
197305,575,1,,,,
197306,576,1,,,,
197308,578,1,,,,
197310,579,1,,,,
197311,580,1,,,,
197312,581,1,,,,
197313,582,1,,,,
197314,583,1,,,,
197315,585,1,,,,
197316,586,1,,,,
197317,588,1,,,,
197318,590,1,,,,
197319,592,1,,,,
197320,593,1,,,,
197321,594,1,,,,
197322,595,1,,,,
197323,596,1,,,,
197324,597,1,,,,
197325,598,1,,,,
197326,599,1,,,,
197327,600,1,,,,
197328,601,1,,,,
197329,603,1,,,,
197330,604,1,,,,
197331,605,1,,,,
197332,606,1,,,,
197333,607,1,,,,
197334,608,1,,,,
197335,609,1,,,,
197336,610,1,,,,
197337,611,1,,,,
197338,612,1,,,,
197339,613,1,,,,
197340,614,1,,,,
197341,615,1,,,,
197342,617,1,,,,
197343,618,1,,,,
197344,619,1,,,,
197345,620,1,,,,
197346,621,1,,,,
197347,622,1,,,,
197348,623,1,,,,
197349,624,1,,,,
197350,625,1,,,,
197351,626,1,,,,
197352,627,1,,,,
197353,628,1,,,,
197354,629,1,,,,
197355,630,1,,,,
197356,631,1,,,,
197357,632,1,,,,
197358,633,1,,,,
197359,634,1,,,,
197360,636,1,,,,
197361,637,1,,,,
197362,638,1,,,,
197363,640,1,,,,
197364,641,1,,,,
197365,642,1,,,,
197366,644,1,,,,
197367,645,1,,,,
197368,646,1,,,,
197369,647,1,,,,
197370,648,1,,,,
197371,649,1,,,,
197372,651,1,,,,
197373,652,1,,,,
197374,653,1,,,,
197375,654,1,,,,
197376,655,1,,,,
197377,656,1,,,,
197378,657,1,,,,
197379,658,1,,,,
197380,659,1,,,,
197381,660,1,,,,
197382,661,1,,,,
197383,662,1,,,,
197384,663,1,,,,
197385,664,1,,,,
197386,665,1,,,,
197387,666,1,,,,
197388,667,1,,,,
197389,668,1,,,,
197390,669,1,,,,
197391,670,1,,,,
197392,671,1,,,,
197394,673,1,,,,
