POLYGON_RCRD_ID,INVENTORY_STANDARD,MEASUREMENT_YEAR,FIZ,BEC_ZONE,PCT_STOCKABLE,NON_PROD_DESC,YIELD_FACTOR 
197228,"V",1997,,"AT",,,
197229,"V",1997,,"AT",,,
197230,"V",1997,,"AT",,,
197231,"V",1997,,"AT",,,
197232,"V",1997,,"AT",,,
197233,"V",1997,,"AT",,,
197234,"V",1997,,"AT",,,
197235,"V",1997,,"AT",,,
197236,"V",1997,,"AT",,,
197237,"V",1997,,"AT",,,
197238,"V",1997,,"AT",,,
197240,"V",1997,,"AT",,,
197242,"V",1997,,"AT",,,
197243,"V",1997,,"AT",,,
197244,"V",1997,,"AT",,,
197245,"V",1997,,"AT",,,
197246,"V",1997,,"AT",,,
197247,"V",1997,,"AT",,,
197248,"V",1997,,"AT",,,
197249,"V",1997,,"AT",,,
197250,"V",1997,,"AT",,,
197251,"V",1997,,"AT",,,
197252,"V",1997,,"AT",,,
197253,"V",1997,,"AT",,,
197254,"V",1997,,"AT",,,
197255,"V",1997,,"AT",,,
197256,"V",1997,,"AT",,,
197257,"V",1997,,"AT",,,
197258,"V",1997,,"AT",,,
197259,"V",1997,,"AT",,,
197260,"V",1997,,"AT",,,
197261,"V",1997,,"AT",,,
197262,"V",1997,,"AT",,,
197263,"V",1997,,"AT",,,
197264,"V",1997,,"AT",,,
197265,"V",1997,,"AT",,,
197266,"V",1997,,"AT",,,
197267,"V",1997,,"AT",,,
197268,"V",1997,,"AT",,,
197270,"V",1997,,"AT",,,
197271,"V",1997,,"AT",,,
197272,"V",1997,,"AT",,,
197273,"V",1997,,"AT",,,
197274,"V",1997,,"AT",,,
197275,"V",1997,,"AT",,,
197276,"V",1997,,"AT",,,
197277,"V",1997,,"AT",,,
197278,"V",1997,,"AT",,,
197279,"V",1997,,"AT",,,
197280,"V",1997,,"AT",,,
197281,"V",1997,,"AT",,,
197282,"V",1997,,"AT",,,
197283,"V",1997,,"AT",,,
197284,"V",1997,,"AT",,,
197285,"V",1997,,"AT",,,
197286,"V",1997,,"AT",,,
197287,"V",1997,,"AT",,,
197288,"V",1997,,"AT",,,
197290,"V",1997,,"AT",,,
197291,"V",1997,,"AT",,,
197292,"V",1997,,"AT",,,
197293,"V",1997,,"AT",,,
197294,"V",1997,,"AT",,,
197295,"V",1997,,"AT",,,
197296,"V",1997,,"AT",,,
197297,"V",1997,,"AT",,,
197298,"V",1997,,"AT",,,
197299,"V",1997,,"AT",,,
197300,"V",1997,,"AT",,,
197301,"V",1997,,"AT",,,
197302,"V",1997,,"AT",,,
197303,"V",1997,,"AT",,,
197304,"V",1997,,"AT",,,
197305,"V",1997,,"AT",,,
197306,"V",1997,,"AT",,,
197308,"V",1997,,"AT",,,
197310,"V",1997,,"AT",,,
197311,"V",1997,,"AT",,,
197312,"V",1997,,"AT",,,
197313,"V",1997,,"AT",,,
197314,"V",1997,,"AT",,,
197315,"V",1997,,"AT",,,
197316,"V",1997,,"AT",,,
197317,"V",1997,,"AT",,,
197318,"V",1997,,"AT",,,
197319,"V",1997,,"AT",,,
197320,"V",1997,,"AT",,,
197321,"V",1997,,"AT",,,
197322,"V",1997,,"AT",,,
197323,"V",1997,,"AT",,,
197324,"V",1997,,"AT",,,
197325,"V",1997,,"AT",,,
197326,"V",1997,,"AT",,,
197327,"V",1997,,"AT",,,
197328,"V",1997,,"AT",,,
197329,"V",1997,,"AT",,,
197330,"V",1997,,"AT",,,
197331,"V",1997,,"AT",,,
197332,"V",1997,,"AT",,,
197333,"V",1997,,"AT",,,
197334,"V",1997,,"AT",,,
197335,"V",1997,,"AT",,,
197336,"V",1997,,"AT",,,
197337,"V",1997,,"AT",,,
197338,"V",1997,,"AT",,,
197339,"V",1997,,"AT",,,
197340,"V",1997,,"AT",,,
197341,"V",1997,,"AT",,,
197342,"V",1997,,"AT",,,
197343,"V",1997,,"AT",,,
197344,"V",1997,,"AT",,,
197345,"V",1997,,"AT",,,
197346,"V",1997,,"AT",,,
197347,"V",1997,,"AT",,,
197348,"V",1997,,"AT",,,
197349,"V",1997,,"AT",,,
197350,"V",1997,,"AT",,,
197351,"V",1997,,"AT",,,
197352,"V",1997,,"AT",,,
197353,"V",1997,,"AT",,,
197354,"V",1997,,"AT",,,
197355,"V",1997,,"AT",,,
197356,"V",1997,,"AT",,,
197357,"V",1997,,"AT",,,
197358,"V",1997,,"AT",,,
197359,"V",1997,,"AT",,,
197360,"V",1997,,"AT",,,
197361,"V",1997,,"AT",,,
197362,"V",1997,,"AT",,,
