POLYGON_RCRD_ID,OTHER_VEG_ID,LAND_COVER_CD,LAND_COVER_PCT 
197072,2,"HE",20.000
197072,3,"BR",10.000
197073,1,"SH",10.000
197073,2,"HE",15.000
197073,3,"BR",0.000
197074,1,"SH",10.000
197074,2,"HE",15.000
197074,3,"BR",0.000
197075,1,"SH",5.000
197075,2,"HE",20.000
197075,3,"BR",10.000
197077,1,"SH",5.000
197077,2,"HE",10.000
197077,3,"BR",0.000
197078,1,"SH",5.000
197078,2,"HE",10.000
197078,3,"BR",0.000
197079,2,"HE",10.000
197079,3,"BR",0.000
197081,1,"SH",5.000
197081,2,"HE",40.000
197081,3,"BR",5.000
197082,1,"SH",5.000
197082,2,"HE",10.000
197082,3,"BR",0.000
197083,1,"SH",5.000
197083,2,"HE",10.000
197083,3,"BR",0.000
197084,1,"SH",20.000
197084,2,"HE",15.000
197084,3,"BR",0.000
197085,1,"SH",10.000
197085,2,"HE",20.000
197085,3,"BR",0.000
197086,1,"SH",5.000
197086,2,"HE",10.000
197086,3,"BR",0.000
197087,1,"SH",5.000
197087,2,"HE",15.000
197087,3,"BR",0.000
197088,1,"SH",5.000
197088,2,"HE",30.000
197088,3,"BR",10.000
197089,1,"SH",5.000
197089,2,"HE",20.000
197089,3,"BR",0.000
197090,1,"SH",5.000
197090,2,"HE",30.000
197090,3,"BR",0.000
197091,2,"HE",10.000
197091,3,"BR",0.000
197092,1,"SH",5.000
197092,2,"HE",15.000
197092,3,"BR",0.000
197093,1,"SH",5.000
197093,2,"HE",45.000
197093,3,"BR",5.000
197094,2,"HE",10.000
197094,3,"BR",0.000
197095,1,"SH",5.000
197095,2,"HE",15.000
197095,3,"BR",0.000
197096,1,"SH",5.000
197096,2,"HE",60.000
197096,3,"BR",10.000
197097,1,"SH",10.000
197097,2,"HE",20.000
197097,3,"BR",0.000
197098,2,"HE",10.000
197098,3,"BR",0.000
197099,1,"SH",5.000
197099,2,"HE",35.000
197099,3,"BR",5.000
197100,1,"SH",10.000
197100,2,"HE",40.000
197100,3,"BR",0.000
197101,2,"HE",5.000
197101,3,"BR",0.000
197102,1,"SH",15.000
197102,2,"HE",65.000
197102,3,"BR",5.000
197103,2,"HE",10.000
197103,3,"BR",0.000
197104,1,"SH",5.000
197104,2,"HE",45.000
197104,3,"BR",5.000
197105,1,"SH",5.000
